,Wavenumber (cm-1),Best fit (AU),pseudo-voigt component 0 (AU),pseudo-voigt component 1 (AU),pseudo-voigt component 2 (AU),pseudo-voigt component 3 (AU)
115,2721.1090000000004,0.12199444880803133,2.788220205819437e-14,0.0004377777213319264,1.6087729119116567e-13,7.322190631298177e-07
116,2723.038,0.12214057878403715,2.825397166584548e-14,0.0004447854529019341,2.780086336017771e-13,1.02719795548634e-06
117,2724.966,0.12228707118609639,2.863302261779706e-14,0.00045195879638809525,4.78208091343524e-13,1.432530122561156e-06
118,2726.895,0.12243412174859657,2.9019949894275626e-14,0.0004593106853026144,8.187688819548738e-13,1.986734004378726e-06
119,2728.823,0.12258163381059221,2.941456080202605e-14,0.0004668392096313074,1.3941285329240948e-12,2.7391434005549494e-06
120,2730.752,0.12272983153752451,2.9817480434440776e-14,0.00047455813066037394,2.3615444738622848e-12,3.755550262535428e-06
121,2732.68,0.12287865162160831,3.022851405366355e-14,0.00048246563956960123,3.976989924343295e-12,5.118869411658211e-06
122,2734.6090000000004,0.12302836290750654,3.064831893753821e-14,0.0004905763969128032,6.661680022883601e-12,6.93834206796622e-06
123,2736.5370000000003,0.12317895435385864,3.107669861025909e-14,0.0004988887188460974,1.1092634090066528e-11,9.349354049131e-06
124,2738.466,0.12333076309506011,3.1514344785333817e-14,0.0005074182444340821,1.837075122603885e-11,1.2528125940913359e-05
125,2740.3940000000002,0.12348385714281901,3.196105961372605e-14,0.0005161634424117914,3.02431714920014e-11,1.668927370342697e-05
126,2742.323,0.123638674794298,3.2417571694610705e-14,0.0005251410183565471,4.951729984796862e-11,2.21087805373031e-05
127,2744.2509999999997,0.12379539931376739,3.288368223721773e-14,0.0005343496256261086,8.059194424628371e-11,2.9116659169192053e-05
128,2746.18,0.12395461379631126,3.3360159396365483e-14,0.0005438071342339382,1.3045162939950854e-10,3.8132189416234766e-05
129,2748.1079999999997,0.12411666312252123,3.384680394786698e-14,0.0005535124193756057,2.0990024170686192e-10,4.964710431964701e-05
130,2750.0370000000003,0.12428233000374952,3.4344426515953724e-14,0.0005634846246884544,3.3588895493442103e-10,6.427868292228664e-05
131,2751.965,0.12445217662055622,3.48528280397415e-14,0.0005737228904522238,5.34300855022782e-10,8.273601106580767e-05
132,2753.8940000000002,0.12462724973130077,3.537286479728221e-14,0.0005842477559352618,8.45263884895868e-10,0.0001058986617788718
133,2755.822,0.12480839038373646,3.590433858949641e-14,0.0005950586767944835,1.3292553132337691e-09,0.00013475457188090104
134,2757.7509999999997,0.12499697880812799,3.644815483360412e-14,0.0006061777245613341,2.0789212171557165e-09,0.00017051486654738224
135,2759.679,0.12519419531318593,3.700411700808977e-14,0.0006176047288111826,3.2320626525662324e-09,0.00021450662683129355
136,2761.6079999999997,0.12540181936469053,3.757318348990344e-14,0.0006293634466979554,4.997265149688879e-09,0.0002683380761192109
137,2763.5359999999996,0.12562141829279685,3.815516038603437e-14,0.0006414541499305695,7.680679846463053e-09,0.0003337230417079274
138,2765.465,0.12585521961695922,3.8751063227780346e-14,0.0006539024538270056,1.1740192188509746e-08,0.00041271535668416964
139,2767.393,0.12610519681099933,3.9360701857551715e-14,0.0006667091518141332,1.783889539255596e-08,0.0005074344494004841
140,2769.322,0.1263740396416522,3.998515357377027e-14,0.0006799019119728062,2.695667937932993e-08,0.0006203934881783473
141,2771.25,0.12666409860479672,4.0624233241318606e-14,0.0006934821424235094,4.049343405853248e-08,0.000754087908754018
142,2773.179,0.12697848470567633,4.1279085006866854e-14,0.0007074797840437211,6.04931112240302e-08,0.0009114484430495152
143,2775.107,0.12731982730704516,4.194953025306538e-14,0.000721896968432251,8.983583149918417e-08,0.001095247527553769
144,2777.0359999999996,0.1276915420306415,4.263678558153704e-14,0.0007367661587126291,1.326764299535905e-07,0.0013087155387326494
145,2778.9640000000004,0.12809635198910094,4.3340680629012283e-14,0.0007520903374554837,1.947883142191251e-07,0.0015547152570553461
146,2780.893,0.12853776957874988,4.406251064975876e-14,0.000767904773602533,2.844002373524781e-07,0.0018365666142440475
147,2782.821,0.1290183299443058,4.480211555018268e-14,0.0007842134503864856,4.127855884006504e-07,0.0021569382613371977
148,2784.75,0.1295413381360019,4.556087610080328e-14,0.0008010547658471793,5.958191410415222e-07,0.0025189316684729665
149,2786.678,0.13010876769114732,4.633864481735526e-14,0.000818433879975425,8.549377069833116e-07,0.0029246428790067206
150,2788.607,0.13072332723890354,4.7136895602151917e-14,0.0008363926895471841,1.2199647031272459e-06,0.003376559153476038
151,2790.535,0.13138598745236083,4.7955496296452503e-14,0.0008549377389087627,1.730584203888193e-06,0.0038757543800815096
152,2792.4640000000004,0.13209841865100566,4.879602240085669e-14,0.0008741148475166842,2.4413407337477455e-06,0.0044236485239685305
153,2794.3920000000003,0.1328601265931648,4.9658360236535984e-14,0.0008939321893615796,3.4237284825713764e-06,0.005019817460275372
154,2796.321,0.13367130285961143,5.054419633406105e-14,0.0009144399943674561,4.774829257664263e-06,0.005664155124973558
155,2798.2490000000003,0.1345295735838301,5.145343915966894e-14,0.0009356483566963003,6.619942440872864e-06,0.006354302385236832
156,2800.178,0.13543328575167565,5.238789680293792e-14,0.0009576124798558396,9.127158916428884e-06,0.0070882322559643034
157,2802.1059999999998,0.1363779014627046,5.3347504136702485e-14,0.0009803447231795598,1.251000340282999e-05,0.007861331422916529
158,2804.035,0.1373597151353388,5.433420258923322e-14,0.0010039059160987405,1.705146488909581e-05,0.008669399465253226
159,2805.9629999999997,0.13837195662473362,5.534795839911686e-14,0.0010283110939369238,2.3105158878029036e-05,0.009505448401366334
160,2807.8920000000003,0.1394088976805904,5.639085954194591e-14,0.0010536274704913027,3.113408414651309e-05,0.01036306840247613
161,2809.82,0.14046175671602285,5.746290939884549e-14,0.001079873247707127,4.170698611916019e-05,0.01123304209298202
162,2811.7490000000003,0.14152311074176513,5.856635733828459e-14,0.0011071229088900417,5.555956175958034e-05,0.012106984591588646
